x,y,value
58,8,4
59,8,4
60,8,4
61,8,4
62,8,4
63,8,4
64,8,3
65,8,2
0,9,5
1,9,5
2,9,5
3,9,5
4,9,5
5,9,5
6,9,5
7,9,5
8,9,5
9,9,5
10,9,5
11,9,5
12,9,5
13,9,5
14,9,5
15,9,5
16,9,5
17,9,5
18,9,5
19,9,5
20,9,5
21,9,5
22,9,4
23,9,4
24,9,4
25,9,3
26,9,127
27,9,127
28,9,127
29,9,127
30,9,127
31,9,127
32,9,127
33,9,127
34,9,127
35,9,127
36,9,127
37,9,127
38,9,127
39,9,127
40,9,127
41,9,127
42,9,127
43,9,127
44,9,127
45,9,127
46,9,127
47,9,127
48,9,127
49,9,127
50,9,127
51,9,127
52,9,2
53,9,2
54,9,3
55,9,4
56,9,4
57,9,4
58,9,4
59,9,5
60,9,5
61,9,5
62,9,4
63,9,4
64,9,4
65,9,3
0,10,5
1,10,5
2,10,5
3,10,5
4,10,5
5,10,5
6,10,5
7,10,5
8,10,5
9,10,5
10,10,5
11,10,5
12,10,5
13,10,5
14,10,5
15,10,5
16,10,5
17,10,5
18,10,5
19,10,5
20,10,5
21,10,5
22,10,5
23,10,4
24,10,4
25,10,3
26,10,127
27,10,127
28,10,127
29,10,127
30,10,127
31,10,127
32,10,127
33,10,127
34,10,127
35,10,127
36,10,127
37,10,127
38,10,127
39,10,127
40,10,127
41,10,127
42,10,127
43,10,127
44,10,127
45,10,127
46,10,127
47,10,127
48,10,127
49,10,127
50,10,127
51,10,3
52,10,3
53,10,3
54,10,4
55,10,4
56,10,4
57,10,5
58,10,5
59,10,5
60,10,5
61,10,5
62,10,5
63,10,5
64,10,4
65,10,4
0,11,5
1,11,5
2,11,5
3,11,5
4,11,5
5,11,5
6,11,5
7,11,5
8,11,5
9,11,5
10,11,5
11,11,5
12,11,5
13,11,5
14,11,5
15,11,5
16,11,5
17,11,5
18,11,5
19,11,5
20,11,5
21,11,5
22,11,5
23,11,5
24,11,4
25,11,3
26,11,127
27,11,127
28,11,127
29,11,127
30,11,127
31,11,127
32,11,127
33,11,127
34,11,127
35,11,127
36,11,127
37,11,127
38,11,127
39,11,127
40,11,127
41,11,127
42,11,127
43,11,127
44,11,127
45,11,127
46,11,127
47,11,127
48,11,127
49,11,127
50,11,3
51,11,3
52,11,4
53,11,4
54,11,4
55,11,4
56,11,5
57,11,5
58,11,5
59,11,5
60,11,5
61,11,5
62,11,5
63,11,5
64,11,5
65,11,4
0,12,5
1,12,5
2,12,5
3,12,5
4,12,5
5,12,5
6,12,5
7,12,5
8,12,5
9,12,5
10,12,5
11,12,5
12,12,5
13,12,5
14,12,5
15,12,5
16,12,5
17,12,5
18,12,5
19,12,5
20,12,5
21,12,5
22,12,5
23,12,5
24,12,4
25,12,4
26,12,127
27,12,127
28,12,127
29,12,127
30,12,127
31,12,127
32,12,127
33,12,127
34,12,127
35,12,127
36,12,127
37,12,127
38,12,127
39,12,127
40,12,127
41,12,127
42,12,127
43,12,127
44,12,127
45,12,127
46,12,127
47,12,127
48,12,2
49,12,3
50,12,3
51,12,3
52,12,4
53,12,4
54,12,4
55,12,4
56,12,5
57,12,5
58,12,5
59,12,5
60,12,5
61,12,5
62,12,5
63,12,5
64,12,5
65,12,4
0,13,5
1,13,5
2,13,5
3,13,5
4,13,5
5,13,5
6,13,5
7,13,5
8,13,5
9,13,5
10,13,5
11,13,5
12,13,5
13,13,5
14,13,5
15,13,5
16,13,5
17,13,5
18,13,5
19,13,5
20,13,5
21,13,5
22,13,5
23,13,5
24,13,5
25,13,4
26,13,3
27,13,127
28,13,127
29,13,127
30,13,127
31,13,127
32,13,127
33,13,127
34,13,127
35,13,127
36,13,127
37,13,127
38,13,127
39,13,127
40,13,127
41,13,127
42,13,127
43,13,127
44,13,127
45,13,127
46,13,127
47,13,2
48,13,2
49,13,3
50,13,3
51,13,4
52,13,4
53,13,4
54,13,4
55,13,5
56,13,5
57,13,5
58,13,5
59,13,5
60,13,5
61,13,5
62,13,5
63,13,5
64,13,5
65,13,4
0,14,5
1,14,5
2,14,5
3,14,5
4,14,5
5,14,5
6,14,5
7,14,5
8,14,5
9,14,5
10,14,5
11,14,5
12,14,5
13,14,5
14,14,5
15,14,5
16,14,5
17,14,5
18,14,5
19,14,5
20,14,5
21,14,5
22,14,5
23,14,5
24,14,5
25,14,4
26,14,4
27,14,127
28,14,127
29,14,127
30,14,127
31,14,127
32,14,127
33,14,127
34,14,127
35,14,127
36,14,127
37,14,127
38,14,127
39,14,127
40,14,127
41,14,127
42,14,127
43,14,127
44,14,127
45,14,127
46,14,127
47,14,2
48,14,3
49,14,3
50,14,4
51,14,4
52,14,4
53,14,4
54,14,5
55,14,5
56,14,5
57,14,5
58,14,5
59,14,5
60,14,5
61,14,5
62,14,5
63,14,5
64,14,5
65,14,5
0,15,5
1,15,5
2,15,5
3,15,5
4,15,5
5,15,5
6,15,5
7,15,5
8,15,5
9,15,5
10,15,5
11,15,5
12,15,5
13,15,5
14,15,5
15,15,5
16,15,5
17,15,5
18,15,5
19,15,5
20,15,5
21,15,5
22,15,5
23,15,5
24,15,5
25,15,4
26,15,4
27,15,127
28,15,127
29,15,127
30,15,127
31,15,127
32,15,127
33,15,127
34,15,127
35,15,127
36,15,127
37,15,127
38,15,127
39,15,127
40,15,127
41,15,127
42,15,127
43,15,127
44,15,127
45,15,1
46,15,2
47,15,3
48,15,3
49,15,3
50,15,4
51,15,4
52,15,4
53,15,4
54,15,5
55,15,5
56,15,5
57,15,5
58,15,5
59,15,5
60,15,5
61,15,5
62,15,5
