x,y,Wave_Power,Bathymetry,Distance_to_Shore,Chlorophyll,Salinity
67.43,21.330000000000002,5,255,127.0,5.0,127.0
67.93,21.330000000000002,5,255,2.0,4.0,1.0
68.43,21.330000000000002,5,255,2.0,4.0,1.0
68.93,21.330000000000002,5,255,2.0,5.0,1.0
69.43,21.330000000000002,5,255,127.0,5.0,5.0
69.93,21.330000000000002,5,255,127.0,5.0,5.0
70.43,21.330000000000002,127,255,127.0,5.0,127.0
70.93,21.330000000000002,127,255,127.0,5.0,127.0
71.43,21.330000000000002,3,255,127.0,5.0,127.0
71.93,21.330000000000002,4,255,127.0,5.0,127.0
72.43,21.330000000000002,3,255,127.0,5.0,127.0
72.93,21.330000000000002,1,255,127.0,5.0,127.0
73.43,21.330000000000002,127,255,127.0,5.0,127.0
73.93,21.330000000000002,127,255,127.0,5.0,127.0
