x,y,value
68.18,21.580000000000002,5.0
68.68,21.580000000000002,5.0
69.18,21.580000000000002,5.0
69.68,21.580000000000002,4.0
72.68,21.580000000000002,1.0
87.68,21.580000000000002,2.0
88.18,21.580000000000002,2.0
88.68,21.580000000000002,2.0
89.18,21.580000000000002,2.0
89.68,21.580000000000002,3.0
90.18,21.580000000000002,2.0
90.68,21.580000000000002,2.0
91.18,21.580000000000002,3.0
91.68,21.580000000000002,3.0
60.18,21.080000000000002,5.0
60.68,21.080000000000002,5.0
61.18,21.080000000000002,5.0
61.68,21.080000000000002,5.0
62.18,21.080000000000002,5.0
62.68,21.080000000000002,5.0
63.18,21.080000000000002,5.0
63.68,21.080000000000002,5.0
64.18,21.080000000000002,5.0
64.68,21.080000000000002,5.0
65.18,21.080000000000002,5.0
65.68,21.080000000000002,5.0
66.18,21.080000000000002,5.0
66.68,21.080000000000002,5.0
67.18,21.080000000000002,5.0
67.68,21.080000000000002,5.0
68.18,21.080000000000002,5.0
68.68,21.080000000000002,5.0
69.18,21.080000000000002,5.0
69.68,21.080000000000002,5.0
70.18,21.080000000000002,4.0
71.68,21.080000000000002,2.0
72.18,21.080000000000002,2.0
72.68,21.080000000000002,2.0
73.18,21.080000000000002,1.0
87.18,21.080000000000002,2.0
87.68,21.080000000000002,3.0
88.18,21.080000000000002,3.0
88.68,21.080000000000002,3.0
89.18,21.080000000000002,3.0
89.68,21.080000000000002,4.0
90.18,21.080000000000002,4.0
90.68,21.080000000000002,4.0
91.18,21.080000000000002,4.0
91.68,21.080000000000002,3.0
92.18,21.080000000000002,3.0
60.18,20.580000000000002,5.0
60.68,20.580000000000002,5.0
61.18,20.580000000000002,5.0
61.68,20.580000000000002,5.0
62.18,20.580000000000002,5.0
62.68,20.580000000000002,5.0
63.18,20.580000000000002,5.0
63.68,20.580000000000002,5.0
64.18,20.580000000000002,5.0
64.68,20.580000000000002,5.0
65.18,20.580000000000002,5.0
65.68,20.580000000000002,5.0
66.18,20.580000000000002,5.0
66.68,20.580000000000002,5.0
67.18,20.580000000000002,5.0
67.68,20.580000000000002,5.0
68.18,20.580000000000002,5.0
68.68,20.580000000000002,5.0
69.18,20.580000000000002,5.0
69.68,20.580000000000002,5.0
70.18,20.580000000000002,5.0
70.68,20.580000000000002,4.0
71.18,20.580000000000002,3.0
71.68,20.580000000000002,3.0
72.18,20.580000000000002,3.0
72.68,20.580000000000002,2.0
73.18,20.580000000000002,1.0
87.18,20.580000000000002,3.0
87.68,20.580000000000002,3.0
88.18,20.580000000000002,4.0
88.68,20.580000000000002,4.0
89.18,20.580000000000002,4.0
89.68,20.580000000000002,4.0
90.18,20.580000000000002,4.0
90.68,20.580000000000002,4.0
91.18,20.580000000000002,4.0
91.68,20.580000000000002,4.0
92.18,20.580000000000002,3.0
92.68,20.580000000000002,2.0
60.18,20.080000000000002,5.0
60.68,20.080000000000002,5.0
61.18,20.080000000000002,5.0
61.68,20.080000000000002,5.0
62.18,20.080000000000002,5.0
62.68,20.080000000000002,5.0
63.18,20.080000000000002,5.0
63.68,20.080000000000002,5.0
64.18,20.080000000000002,5.0
64.68,20.080000000000002,5.0
65.18,20.080000000000002,5.0
65.68,20.080000000000002,5.0
66.18,20.080000000000002,5.0
66.68,20.080000000000002,5.0
67.18,20.080000000000002,5.0
67.68,20.080000000000002,5.0
68.18,20.080000000000002,5.0
68.68,20.080000000000002,5.0
69.18,20.080000000000002,5.0
69.68,20.080000000000002,5.0
70.18,20.080000000000002,5.0
70.68,20.080000000000002,5.0
71.18,20.080000000000002,4.0
71.68,20.080000000000002,4.0
72.18,20.080000000000002,4.0
72.68,20.080000000000002,3.0
86.18,20.080000000000002,2.0
86.68,20.080000000000002,2.0
87.18,20.080000000000002,3.0
87.68,20.080000000000002,4.0
88.18,20.080000000000002,4.0
88.68,20.080000000000002,4.0
89.18,20.080000000000002,4.0
89.68,20.080000000000002,5.0
