x,y,Wave_Power,Bathymetry,Distance_to_Shore,Chlorophyll,Salinity
90.18,21.58,3,1,1,4,1
90.68,21.58,3,1,1,4,1
91.18,21.58,3,2,1,4,1
91.68,21.58,3,2,1,4,1
92.18,21.58,127,3,1,5,127
92.68,21.58,127,3,127,32767,127
60.18,21.08,5,255,127,1,1
60.68,21.08,5,255,3,1,1
61.18,21.08,5,255,3,2,1
61.68,21.08,5,255,3,2,1
62.18,21.08,5,255,3,1,1
62.68,21.08,5,255,3,1,1
63.18,21.08,5,255,3,1,1
63.68,21.08,5,255,3,1,1
64.18,21.08,5,255,3,1,1
64.68,21.08,5,4,3,1,1
65.18,21.08,5,4,3,2,1
65.68,21.08,5,3,3,2,1
66.18,21.08,5,3,3,2,1
66.68,21.08,5,2,3,2,1
67.18,21.08,5,2,3,2,1
67.68,21.08,5,1,3,2,1
68.18,21.08,5,1,3,3,1
68.68,21.08,5,1,3,3,1
69.18,21.08,5,0,3,4,1
69.68,21.08,5,0,3,4,1
70.18,21.08,5,255,2,4,2
70.68,21.08,127,255,127,5,127
71.18,21.08,127,255,127,5,127
71.68,21.08,3,255,127,5,1
72.18,21.08,4,0,2,4,1
72.68,21.08,3,255,2,5,1
73.18,21.08,1,255,2,5,3
73.68,21.08,127,255,127,5,5
74.18,21.08,127,255,127,5,127
74.68,21.08,127,255,127,5,127
75.18,21.08,127,255,127,5,127
75.68,21.08,127,255,127,5,127
76.18,21.08,127,255,127,5,127
76.68,21.08,127,255,127,5,127
77.18,21.08,127,255,127,5,127
77.68,21.08,127,255,127,5,127
78.18,21.08,127,255,127,5,127
78.68,21.08,127,255,127,5,127
79.18,21.08,127,255,127,5,127
79.68,21.08,127,255,127,5,127
80.18,21.08,127,255,127,5,127
80.68,21.08,127,255,127,5,127
81.18,21.08,127,255,127,5,127
81.68,21.08,127,255,127,5,127
82.18,21.08,127,255,127,5,127
82.68,21.08,127,255,127,5,127
83.18,21.08,127,255,127,5,127
83.68,21.08,127,255,127,5,127
84.18,21.08,127,255,127,5,127
84.68,21.08,127,255,127,5,127
85.18,21.08,127,255,127,5,127
85.68,21.08,127,255,127,5,127
86.18,21.08,127,255,127,5,127
86.68,21.08,127,255,127,5,1
87.18,21.08,2,0,2,4,1
87.68,21.08,3,0,2,4,1
88.18,21.08,3,0,2,4,1
88.68,21.08,4,0,2,4,1
89.18,21.08,4,0,2,4,1
89.68,21.08,4,0,1,4,1
90.18,21.08,4,1,1,4,1
90.68,21.08,4,1,1,4,1
91.18,21.08,4,2,1,4,1
91.68,21.08,4,2,1,4,1
92.18,21.08,3,3,1,5,127
92.68,21.08,127,3,127,32767,127
60.18,20.58,5,255,127,1,1
60.68,20.58,5,255,3,1,1
61.18,20.58,5,255,3,1,1
61.68,20.58,5,255,3,1,1
62.18,20.58,5,255,3,1,1
62.68,20.58,5,255,3,1,1
63.18,20.58,5,255,3,1,1
63.68,20.58,5,255,3,1,1
64.18,20.58,5,255,3,1,1
64.68,20.58,5,4,3,1,1
65.18,20.58,5,4,3,1,1
65.68,20.58,5,3,3,2,1
66.18,20.58,5,3,3,2,1
66.68,20.58,5,2,3,2,1
67.18,20.58,5,2,3,2,1
67.68,20.58,5,2,3,2,1
68.18,20.58,5,1,3,2,1
68.68,20.58,5,1,3,2,1
69.18,20.58,5,1,3,3,1
69.68,20.58,5,0,3,4,1
70.18,20.58,5,0,3,4,1
70.68,20.58,5,0,2,4,1
71.18,20.58,5,0,2,5,1
71.68,20.58,5,0,2,4,1
72.18,20.58,5,0,2,4,1
72.68,20.58,4,0,2,5,2
73.18,20.58,2,255,2,5,127
73.68,20.58,127,255,127,5,127
74.18,20.58,127,255,127,5,127
74.68,20.58,127,255,127,5,127
75.18,20.58,127,255,127,5,127
75.68,20.58,127,255,127,5,127
76.18,20.58,127,255,127,5,127
76.68,20.58,127,255,127,5,127
77.18,20.58,127,255,127,5,127
77.68,20.58,127,255,127,5,127
78.18,20.58,127,255,127,5,127
78.68,20.58,127,255,127,5,127
79.18,20.58,127,255,127,5,127
79.68,20.58,127,255,127,5,127
80.18,20.58,127,255,127,5,127
80.68,20.58,127,255,127,5,127
81.18,20.58,127,255,127,5,127
81.68,20.58,127,255,127,5,127
82.18,20.58,127,255,127,5,127
82.68,20.58,127,255,127,5,127
83.18,20.58,127,255,127,5,127
83.68,20.58,127,255,127,5,127
84.18,20.58,127,255,127,5,127
84.68,20.58,127,255,127,5,127
85.18,20.58,127,255,127,5,127
85.68,20.58,127,255,127,5,127
86.18,20.58,127,255,127,5,127
86.68,20.58,127,255,127,4,1
87.18,20.58,3,0,2,4,1
87.68,20.58,4,0,2,4,1
88.18,20.58,4,1,2,4,1
88.68,20.58,4,1,2,4,1
89.18,20.58,5,1,2,4,1
89.68,20.58,5,1,2,4,1
90.18,20.58,5,1,2,4,1
90.68,20.58,5,2,2,4,1
91.18,20.58,5,2,1,4,1
91.68,20.58,4,2,1,4,1
92.18,20.58,4,3,1,4,1
92.68,20.58,3,3,1,32767,127
60.18,20.08,5,255,127,1,1
60.68,20.08,5,255,3,1,1
61.18,20.08,5,255,3,1,1
61.68,20.08,5,255,3,1,1
62.18,20.08,5,255,3,1,1
62.68,20.08,5,255,3,1,1
63.18,20.08,5,255,3,1,1
63.68,20.08,5,255,3,1,1
64.18,20.08,5,255,3,1,1
64.68,20.08,5,255,3,1,1
65.18,20.08,5,4,3,1,1
65.68,20.08,5,4,3,2,1
66.18,20.08,5,3,3,2,1
66.68,20.08,5,3,3,2,1
67.18,20.08,5,2,3,1,1
67.68,20.08,5,2,3,1,1
68.18,20.08,5,2,3,1,1
68.68,20.08,5,1,3,2,1
69.18,20.08,5,1,3,3,1
69.68,20.08,5,1,3,4,1
70.18,20.08,5,0,3,4,1
70.68,20.08,5,0,3,4,1
71.18,20.08,5,0,2,4,1
71.68,20.08,5,0,2,4,1
72.18,20.08,5,0,2,4,1
72.68,20.08,5,0,2,5,2
73.18,20.08,127,255,2,5,127
73.68,20.08,127,255,127,5,127
74.18,20.08,127,255,127,5,127
74.68,20.08,127,255,127,5,127
75.18,20.08,127,255,127,5,127
75.68,20.08,127,255,127,5,127
76.18,20.08,127,255,127,5,127
76.68,20.08,127,255,127,5,127
77.18,20.08,127,255,127,5,127
77.68,20.08,127,255,127,5,127
78.18,20.08,127,255,127,5,127
78.68,20.08,127,255,127,5,127
79.18,20.08,127,255,127,5,127
79.68,20.08,127,255,127,5,127
80.18,20.08,127,255,127,5,127
80.68,20.08,127,255,127,5,127
81.18,20.08,127,255,127,5,127
81.68,20.08,127,255,127,5,127
82.18,20.08,127,255,127,5,127
82.68,20.08,127,255,127,5,127
83.18,20.08,127,255,127,5,127
83.68,20.08,127,255,127,5,127
84.18,20.08,127,255,127,5,127
84.68,20.08,127,255,127,5,127
85.18,20.08,127,255,127,5,127
85.68,20.08,127,255,127,5,127
86.18,20.08,2,255,127,5,1
86.68,20.08,3,0,2,4,1
87.18,20.08,4,0,2,4,1
87.68,20.08,4,0,2,4,1
88.18,20.08,4,1,2,4,1
88.68,20.08,5,1,2,4,1
89.18,20.08,5,1,2,4,1
89.68,20.08,5,1,2,4,1
90.18,20.08,5,2,2,4,1
90.68,20.08,5,2,2,4,1
91.18,20.08,5,2,2,4,1
91.68,20.08,5,3,2,4,1
92.18,20.08,4,3,2,4,1
92.68,20.08,3,4,1,32767,127
60.18,19.58,5,255,127,1,1
60.68,19.58,5,255,3,1,1
61.18,19.58,5,255,3,1,1
61.68,19.58,5,255,3,1,1
62.18,19.58,5,255,3,1,1
62.68,19.58,5,255,3,1,1
63.18,19.58,5,255,3,1,1
63.68,19.58,5,255,3,1,1
64.18,19.58,5,255,3,1,1
64.68,19.58,5,255,3,1,1
65.18,19.58,5,4,3,1,1
65.68,19.58,5,4,3,1,1
66.18,19.58,5,4,3,2,1
66.68,19.58,5,3,3,2,1
67.18,19.58,5,3,3,1,1
67.68,19.58,5,3,3,1,1
68.18,19.58,5,2,3,1,1
68.68,19.58,5,2,3,2,1
69.18,19.58,5,1,3,3,1
69.68,19.58,5,1,3,4,1
70.18,19.58,5,1,3,4,1
70.68,19.58,5,1,3,4,1
71.18,19.58,5,1,3,4,1
71.68,19.58,5,1,3,4,1
72.18,19.58,5,0,2,4,1
72.68,19.58,5,0,2,5,2
73.18,19.58,127,255,127,5,127
73.68,19.58,127,255,127,5,127
74.18,19.58,127,255,127,5,127
74.68,19.58,127,255,127,5,127
75.18,19.58,127,255,127,5,4
75.68,19.58,127,255,127,5,127
76.18,19.58,127,255,127,5,127
76.68,19.58,127,255,127,5,127
77.18,19.58,127,255,127,5,127
77.68,19.58,127,255,127,5,127
78.18,19.58,127,255,127,5,127
78.68,19.58,127,255,127,5,127
79.18,19.58,127,255,127,5,127
79.68,19.58,127,255,127,5,127
80.18,19.58,127,255,127,5,127
80.68,19.58,127,255,127,5,127
81.18,19.58,127,255,127,5,127
81.68,19.58,127,255,127,5,127
82.18,19.58,127,255,127,5,127
82.68,19.58,127,255,127,5,127
83.18,19.58,127,255,127,5,127
83.68,19.58,127,255,127,5,127
84.18,19.58,127,255,127,5,127
84.68,19.58,127,255,127,5,127
85.18,19.58,127,255,127,5,1
85.68,19.58,3,0,2,4,1
86.18,19.58,3,0,2,4,1
86.68,19.58,4,0,2,4,1
87.18,19.58,4,0,2,3,1
87.68,19.58,5,1,2,3,1
88.18,19.58,5,1,2,3,1
88.68,19.58,5,2,2,3,1
89.18,19.58,5,2,2,3,1
89.68,19.58,5,2,2,3,1
90.18,19.58,5,2,2,3,1
90.68,19.58,5,2,2,3,1
91.18,19.58,5,3,2,3,1
91.68,19.58,5,3,2,3,1
92.18,19.58,5,3,2,4,1
92.68,19.58,4,4,2,32767,127
60.18,19.08,5,255,127,1,1
60.68,19.08,5,255,3,1,1
61.18,19.08,5,255,3,1,1
61.68,19.08,5,255,3,1,1
62.18,19.08,5,255,3,1,1
62.68,19.08,5,255,3,1,1
63.18,19.08,5,255,3,1,1
63.68,19.08,5,255,3,1,1
64.18,19.08,5,255,3,1,1
64.68,19.08,5,255,3,1,1
65.18,19.08,5,255,3,1,1
65.68,19.08,5,4,3,1,1
66.18,19.08,5,4,3,1,1
66.68,19.08,5,4,3,1,1
67.18,19.08,5,3,3,1,1
67.68,19.08,5,3,3,1,1
68.18,19.08,5,3,3,1,1
68.68,19.08,5,2,3,1,1
69.18,19.08,5,2,3,2,1
69.68,19.08,5,2,3,3,1
70.18,19.08,5,1,3,4,1
70.68,19.08,5,1,3,4,1
71.18,19.08,5,1,3,4,1
71.68,19.08,5,1,3,4,1
72.18,19.08,5,0,3,4,1
72.68,19.08,5,0,2,5,2
73.18,19.08,127,255,2,5,127
73.68,19.08,127,255,127,5,127
74.18,19.08,127,255,127,5,127
74.68,19.08,127,255,127,5,127
75.18,19.08,127,255,127,5,4
75.68,19.08,127,255,127,5,127
76.18,19.08,127,255,127,5,127
